Time,ZebraCount,LionCount
874000,25,0
875000,26,0
876000,25,0
877000,27,0
878000,24,0
879000,24,0
880000,22,0
881000,23,0
882000,25,0
883000,29,0
884000,28,0
885000,28,0
886000,27,0
887000,25,0
888000,26,0
889000,26,0
890000,28,0
891000,30,0
892000,28,0
893000,27,0
894000,27,0
895000,26,0
896000,27,0
897000,27,0
898000,27,0
899000,25,0
900000,24,0
901000,21,0
902000,20,0
903000,20,0
904000,23,0
905000,24,0
906000,23,0
907000,21,0
908000,22,0
909000,22,0
910000,22,0
911000,23,0
912000,26,0
913000,27,0
914000,26,0
915000,27,0
916000,26,0
917000,26,0
918000,24,0
919000,23,0
920000,23,0
921000,22,0
922000,23,0
923000,23,0
924000,23,0
925000,22,0
926000,22,0
927000,22,0
928000,20,0
929000,21,0
930000,20,0
931000,22,0
932000,21,0
933000,21,0
934000,19,0
935000,18,0
936000,18,0
937000,17,0
938000,17,0
939000,18,0
940000,16,0
941000,16,0
942000,15,0
943000,15,0
944000,15,0
945000,15,0
946000,15,0
947000,16,0
948000,16,0
949000,15,0
950000,15,0
951000,17,0
952000,18,0
953000,19,0
954000,19,0
955000,19,0
956000,19,0
957000,18,0
958000,17,0
959000,17,0
960000,17,0
961000,16,0
962000,17,0
963000,17,0
964000,17,0
965000,17,0
966000,17,0
967000,16,0
968000,19,0
969000,21,0
970000,23,0
971000,23,0
972000,26,0
973000,25,0
974000,24,0
975000,23,0
976000,23,0
977000,24,0
978000,22,0
979000,23,0
980000,23,0
981000,23,0
982000,22,0
983000,20,0
984000,20,0
985000,20,0
986000,20,0
987000,21,0
988000,21,0
989000,22,0
990000,21,0
991000,18,0
992000,18,0
993000,18,0
994000,19,0
995000,20,0
996000,19,0
997000,21,0
998000,20,0
999000,20,0
1000000,22,0
1001000,25,0
1002000,26,0
1003000,25,0
1004000,24,0
1005000,24,0
1006000,23,0
1007000,24,0
1008000,24,0
1009000,23,0
1010000,20,0
1011000,19,0
1012000,20,0
1013000,18,0
1014000,18,0
1015000,18,0
1016000,19,0
1017000,18,0
1018000,18,0
1019000,19,0
1020000,18,0
