Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Lifespan,Age,BirthTime,COD
16,38.524094,0.31645963,57.04051,35.749424,22.635113,500.0,96.22372,4.811524,7145,1410,5677,Starvation
20,37.151268,0.3389353,40.281624,32.44858,15.171785,500.0,149.37874,4.490514,7809,1364,5736,Starvation
16,38.415367,0.3606586,39.026993,22.327057,21.082651,500.0,112.18527,5.620974,6295,1175,5935,Starvation
14,27.787716,0.3785554,49.92541,34.197388,17.89011,500.0,126.39877,4.4908934,5861,1669,5479,Starvation
13,39.548973,0.34630084,44.36114,21.311653,21.311653,500.0,95.96806,5.9306755,8586,2434,4716,Starvation
24,28.366096,0.25853068,58.544666,39.456676,15.793722,500.0,169.57709,4.4777594,8839,285,6871,Starvation
17,35.37153,0.3423517,36.703148,25.780321,20.85187,500.0,96.6517,5.898041,6625,897,6282,Starvation
18,36.16706,0.4128401,53.44748,31.666607,15.222565,500.0,110.62817,6.476643,7229,1363,5817,Starvation
23,24.082478,0.3502534,40.059288,21.916338,12.355982,500.0,137.18344,4.376711,6098,242,6957,Starvation
25,24.03366,0.28075334,41.069504,30.05381,13.391962,500.0,127.582405,6.924781,7657,358,6854,Starvation
20,31.605793,0.19456804,48.563496,28.44967,12.620783,500.0,179.34111,5.146438,7073,565,6648,Starvation
13,33.99689,0.4173345,44.21687,37.532715,19.128222,500.0,115.6784,4.3510447,5410,591,6631,Starvation
15,27.39844,0.52448404,42.728165,28.092733,10.018587,500.0,94.25577,6.0515647,6690,1325,5907,Starvation
22,33.0158,0.43872625,36.446808,44.802513,14.195196,500.0,174.5245,4.11506,5992,548,6688,Starvation
28,30.423918,0.52808714,30.138464,30.802567,18.862768,500.0,161.04425,5.775211,7837,617,6627,Starvation
22,37.18093,0.17528383,43.9364,23.735868,22.737972,500.0,134.97144,6.611734,4628,896,6365,Starvation
27,35.072357,0.45797533,32.446243,23.781374,16.411558,500.0,182.68625,3.854023,7907,188,7075,Starvation
26,35.73269,0.524681,59.477486,19.525131,13.633802,500.0,213.0383,4.448684,5975,336,6931,Starvation
8,33.91143,0.41537994,52.31781,27.839607,21.767273,500.0,94.87081,6.0824194,9145,3285,3984,Starvation
23,27.267872,0.38051295,29.73341,25.559624,12.632653,500.0,114.13202,5.3019185,7507,524,6762,Starvation
23,39.159622,0.31962594,33.242393,30.766882,16.001995,500.0,210.68622,6.6296587,9313,1073,6235,Starvation
28,30.04536,0.4956024,43.40016,16.078976,15.931047,500.0,146.61214,4.9423966,6197,143,7190,Starvation
26,28.822157,0.45985195,43.512585,25.021091,17.719778,500.0,178.22534,5.0529656,7843,508,6855,Starvation
25,34.482735,0.4046592,50.40317,31.233948,19.107916,500.0,206.77234,4.398196,7144,582,6813,Starvation
22,27.940775,0.49841794,51.070663,29.102716,11.009802,500.0,174.04965,4.870118,7792,671,6758,Starvation
23,36.016254,0.31510445,52.32517,40.09912,14.228832,500.0,180.23723,4.7637587,6851,1435,6000,Starvation
25,42.39337,0.4006122,30.903883,39.354473,25.114927,500.0,225.97429,6.2078004,8392,425,7026,Starvation
23,31.907127,0.43866238,41.954582,32.355183,12.222864,500.0,179.41452,4.5444994,8280,832,6650,Starvation
22,36.248787,0.39334235,60.200645,26.074022,21.854942,500.0,144.6401,5.391013,6122,895,6625,Starvation
15,28.239557,0.29807186,40.704765,25.014933,13.077061,500.0,130.47583,4.610263,7348,1903,5681,Starvation
25,39.15052,0.17867845,49.147728,35.031345,25.055466,500.0,245.68933,5.391235,6101,891,6696,Starvation
15,30.35604,0.3612374,51.498173,36.27746,18.627144,500.0,132.78987,5.405278,6306,2942,4659,Starvation
24,28.54022,0.334524,62.26629,28.78722,11.810798,500.0,161.48123,7.5426474,5627,1051,6563,Starvation
20,32.035576,0.47133166,49.267742,35.75424,14.004717,500.0,129.22617,5.0651865,5489,1822,5807,Starvation
24,42.974487,0.23729251,28.673344,33.130287,26.529736,500.0,229.93018,5.2087464,7776,1339,6293,Starvation
31,33.95558,0.53909534,42.0985,22.982862,21.218388,500.0,159.43509,4.166597,9085,167,7471,Starvation
15,31.733189,0.4706877,50.382965,32.626328,11.735664,500.0,108.2905,6.2378583,5687,2701,4951,Starvation
22,38.86564,0.2759114,54.54818,23.97283,14.398075,500.0,193.27446,3.4420817,6364,1352,6318,Starvation
20,35.38384,0.47402883,48.311348,29.487637,18.450686,500.0,111.927475,6.071685,8274,1302,6385,Starvation
29,28.09464,0.45317945,38.90513,31.24465,17.297077,500.0,281.46826,4.1177483,5743,282,7410,Starvation
30,38.422203,0.4146635,40.083878,34.018677,18.378157,500.0,164.76344,5.906685,8378,768,6926,Starvation
27,36.827694,0.47132292,53.086464,32.680954,22.626837,500.0,168.28229,4.169161,8382,667,7045,Starvation
18,29.247353,0.41739738,35.617706,20.191141,16.461359,500.0,96.24988,4.7924805,5156,2465,5248,Starvation
25,47.28981,0.32341653,42.821186,28.66024,26.901554,500.0,195.3338,5.4704857,8435,455,7268,Starvation
27,30.678555,0.44448283,32.18982,32.449062,12.987431,500.0,258.12854,4.8709726,8989,1139,6585,Starvation
29,35.038963,0.4219289,38.89441,26.573467,13.852785,500.0,178.49818,4.046948,7667,463,7264,Starvation
21,30.192377,0.3374184,68.13504,31.498302,13.291582,500.0,112.51278,3.8098192,5841,1421,6309,Starvation
19,33.056595,0.3064647,44.70998,24.283884,20.623806,500.0,145.10461,4.314047,8698,1420,6327,Starvation
16,29.175938,0.33636427,51.97184,33.877934,16.212576,500.0,137.08514,6.6998525,10640,2145,5614,Starvation
23,40.36137,0.23257199,41.104103,22.956257,20.904696,500.0,220.88893,5.62387,8751,405,7361,Starvation
22,29.574741,0.550027,61.231926,27.072754,17.130156,500.0,186.57942,5.171581,7862,1649,6129,Starvation
31,33.485367,0.5365375,41.35472,39.12821,18.76962,500.0,146.39232,6.1909885,8069,336,7446,Starvation
22,36.764404,0.31307328,42.807266,42.555855,19.737564,500.0,201.67946,5.266312,7488,1856,5956,Starvation
18,34.783997,0.3020984,43.635105,33.32408,14.066746,500.0,148.83624,4.82463,5595,1959,5856,Starvation
15,26.186687,0.43413416,45.504665,25.908447,14.342879,500.0,90.6608,4.414362,4731,3083,4743,Starvation
27,27.025764,0.5293169,39.375854,30.636776,16.143112,500.0,215.84894,5.2024302,4946,642,7199,Starvation
25,33.24395,0.5937318,72.06901,22.104664,16.124077,500.0,142.85529,5.7629795,7756,173,7669,Starvation
18,41.793373,0.37822598,40.966373,40.075756,18.354845,500.0,102.34751,4.8403397,5540,2236,5611,Starvation
15,26.699093,0.44117093,49.83979,22.865932,16.17673,500.0,114.011284,5.421805,4778,3121,4728,Starvation
15,32.667084,0.39015687,48.576714,29.11601,13.981186,500.0,113.90393,4.1549983,10184,2078,5777,Starvation
15,32.765472,0.415848,32.187775,26.61692,21.242205,500.0,80.91815,5.7114916,7316,1942,5915,Starvation
23,34.45588,0.376149,32.46681,36.60481,15.863638,500.0,147.29701,4.687568,6755,1687,6171,Starvation
19,35.817314,0.31380057,41.56517,28.042803,19.72477,500.0,160.91876,8.438445,6125,1715,6153,Starvation
18,38.255516,0.40682626,41.744614,39.664955,15.378999,500.0,104.87268,7.2340603,7051,2230,5647,Starvation
15,40.38135,0.33382002,53.94887,20.20895,17.764029,500.0,102.4646,2.975603,6919,2228,5658,Starvation
17,36.65226,0.39591727,50.39061,26.290812,22.63983,500.0,155.91086,4.9307694,7997,2260,5634,Starvation
17,35.28234,0.29760018,59.24556,40.69912,19.628372,500.0,88.847084,6.4774427,5579,2462,5433,Starvation
10,37.62919,0.31979516,67.32486,35.255516,20.468729,500.0,68.10492,3.273519,6237,3968,3935,Starvation
26,47.52536,0.31562933,45.923218,21.344225,21.344225,500.0,191.61897,3.583253,10719,263,7648,Starvation
13,35.167664,0.4072439,41.708984,23.809332,13.072676,500.0,103.560936,4.3881855,7868,1211,6722,Starvation
19,40.603745,0.28901282,58.1921,34.820335,18.231892,500.0,134.56822,4.546317,7734,1975,5985,Starvation
20,26.620123,0.19130088,36.196136,26.748596,16.572985,500.0,126.76139,4.647908,9974,1518,6456,Starvation
23,34.13564,0.31548917,59.552788,24.382427,12.534208,500.0,242.21909,3.6756318,7453,468,7506,Starvation
24,27.881933,0.52804565,40.023136,40.29346,17.352581,500.0,138.4043,4.062889,6639,1260,6722,Starvation
22,36.78305,0.24880186,45.994305,42.109425,22.686296,500.0,126.95657,5.0219817,9875,1916,6075,Starvation
33,35.309517,0.43268234,50.848507,28.92234,16.558117,500.0,235.78925,4.141817,9324,439,7560,Starvation
34,33.61783,0.5816626,38.01067,30.422623,16.212395,500.0,148.86813,4.772636,8820,338,7669,Starvation
11,43.416725,0.55178916,52.4445,19.874504,16.59327,500.0,110.80478,3.0089853,5791,3022,4987,Starvation
33,34.769497,0.62609357,52.328793,25.926323,15.189451,500.0,152.46924,4.0230904,10043,349,7678,Starvation
29,36.026344,0.4577086,50.93118,30.005186,15.296539,500.0,197.36382,3.529595,4841,362,7670,Starvation
20,28.610546,0.32144687,35.311058,29.760754,16.934566,500.0,133.47507,5.471637,3978,1618,6417,Starvation
20,39.842033,0.44112146,57.793827,38.0519,17.57611,500.0,138.73117,5.8811145,6039,2420,5636,Starvation
28,39.339344,0.35929143,35.60328,35.570663,15.798459,500.0,215.49556,4.93107,6873,1145,6912,Starvation
26,38.128143,0.30667898,39.41464,22.908646,22.908646,500.0,153.26385,4.5842514,5056,633,7425,Starvation
26,34.64786,0.37942338,45.045654,35.394722,21.813139,500.0,156.1234,5.6769743,6331,1348,6716,Starvation
12,35.84363,0.38364154,56.90477,38.208485,14.288879,500.0,105.47578,4.6806273,10428,3360,4714,Starvation
33,35.21681,0.42683065,34.864395,34.370655,17.474716,500.0,154.82776,4.510293,11040,429,7647,Starvation
19,34.948112,0.47612956,33.678474,28.042469,21.543768,500.0,113.19075,4.687025,6074,2455,5648,Starvation
24,29.575283,0.42413378,53.305878,31.221285,16.113794,500.0,164.01324,5.761483,9051,975,7132,Starvation
14,34.732735,0.3656349,33.41815,22.709408,14.35443,500.0,68.29979,3.1386967,4578,2349,5778,Starvation
23,38.188248,0.31415644,42.21437,27.76664,17.620123,500.0,180.75981,5.315564,6821,1707,6425,Starvation
22,38.176468,0.3314385,40.97314,25.416906,14.718314,500.0,122.664665,4.7698817,7695,1986,6157,Starvation
18,38.852406,0.27161515,47.1777,34.029205,19.762331,500.0,139.72745,7.0954723,6757,2507,5646,Starvation
21,32.95511,0.38601935,45.931973,30.774832,17.11206,500.0,156.43741,5.744485,5171,2239,5914,Starvation
20,35.36341,0.18602389,47.502827,30.474749,18.316938,500.0,160.37003,4.791881,3890,1605,6576,Starvation
11,34.759407,0.31997892,58.148727,28.194735,16.054983,500.0,114.223526,7.899015,7355,3457,4743,Starvation
16,31.392595,0.3941487,53.262135,41.025887,15.093614,500.0,86.50743,5.19611,6074,1764,6463,Starvation
19,38.524483,0.27454898,57.279503,35.94411,19.926619,500.0,154.60344,5.851194,8352,2187,6084,Starvation
25,32.098816,0.65860033,47.34378,27.73769,17.39577,500.0,205.6299,4.1392345,4967,1725,6606,Starvation
15,40.49893,0.4422653,43.73247,36.870113,15.659069,500.0,121.97061,4.541579,8496,2530,5843,Starvation
23,36.75853,0.44720393,49.233932,43.093754,22.271925,500.0,110.82979,5.6633844,8673,2146,6277,Starvation
23,40.780357,0.33167064,45.544785,46.21046,20.115042,500.0,172.90837,5.286059,7501,2154,6284,Starvation
28,35.529808,0.5292041,49.349903,32.3561,19.88323,500.0,212.422,3.2242389,7837,811,7640,Starvation
33,31.02938,0.3827252,41.535084,37.596043,15.936493,500.0,160.11719,6.2068667,7113,812,7641,Starvation
28,32.012505,0.58359116,47.056595,49.257397,14.86852,500.0,170.97076,3.716577,8103,923,7536,Starvation
16,39.09587,0.2735639,47.463898,37.49146,20.614716,500.0,112.92938,4.490741,5890,2642,5822,Starvation
24,41.936054,0.24206208,36.1759,33.553204,22.256882,500.0,126.74027,4.838572,9272,448,8032,Starvation
27,33.878433,0.32446665,62.29792,23.557459,15.282326,500.0,256.34726,3.9301553,7707,687,7802,Starvation
19,37.922985,0.38100383,41.04561,18.524122,18.524122,500.0,101.15747,5.512185,7109,3140,5366,Starvation
26,42.779312,0.35220307,37.012165,52.44901,24.647064,500.0,151.70085,5.689894,6660,933,7573,Starvation
21,40.828247,0.38302407,43.06875,29.750406,25.533295,500.0,153.61658,6.052128,5715,2154,6356,Starvation
12,28.496399,0.31046063,51.06907,30.481232,11.226905,500.0,84.291985,5.3811374,10238,3200,5351,Starvation
26,40.448685,0.21214947,50.94178,35.48344,20.611017,500.0,166.80043,6.4378967,7085,1656,6907,Starvation
5,42.269928,0.4241601,51.872463,32.91211,24.748772,500.0,84.19282,3.2527347,6350,4937,3651,Starvation
35,31.844965,0.38448536,40.530132,24.672169,11.64415,500.0,174.80907,4.5973663,6736,454,8158,Starvation
25,40.104004,0.47477037,39.180283,45.10859,20.989101,500.0,129.65187,4.335827,4266,653,7981,Starvation
33,27.84401,0.68040955,39.907825,38.391537,13.885504,500.0,152.5852,5.121231,10732,280,8373,Starvation
13,36.90197,0.46689424,53.566036,23.681705,23.667366,500.0,61.0085,3.3411796,8188,4424,4237,Starvation
29,38.600334,0.43758956,29.576677,30.5764,20.80208,500.0,171.0582,4.6658087,9182,1805,6858,Starvation
23,31.332642,0.34728277,49.084442,31.081585,16.109968,500.0,203.63069,3.6799202,5154,1154,7527,Starvation
19,37.52636,0.33057383,61.355797,20.63609,20.63609,500.0,109.11656,3.4283617,7769,2877,5809,Starvation
25,40.482784,0.30199528,49.52857,36.47873,15.15266,500.0,160.84642,4.070407,9941,255,8433,Starvation
26,36.255913,0.32482895,47.58219,39.011253,16.193003,500.0,244.06448,4.583573,7092,2040,6660,Starvation
14,36.481506,0.3812386,37.330288,24.570202,13.217328,500.0,120.81657,4.752636,5536,2984,5723,Starvation
22,40.41242,0.32514262,37.890682,32.508556,19.422056,500.0,153.1055,5.923367,8504,2517,6200,Starvation
18,33.84208,0.34494203,65.63707,31.461124,17.638557,500.0,116.19448,4.298791,10142,2840,5880,Starvation
28,42.784073,0.40067124,52.654896,36.53819,14.1336975,500.0,162.87872,6.9771094,6397,1679,7046,Starvation
19,35.1168,0.3075195,39.95008,36.07855,17.653067,500.0,152.47261,4.794957,4835,2926,5828,Starvation
32,32.078804,0.38996118,43.00291,33.261772,17.55212,500.0,222.84752,4.3406115,7571,322,8458,Starvation
13,22.922333,0.35871157,81.28832,30.083355,13.573288,500.0,79.53645,6.7808013,10094,1959,6827,Starvation
