Generation,StartingEnergy,Speed,DetectRange,BreedEnergy,BabyEnergy,AttentionSpan,Desirability,DesirabilityThreshold,Age
6,26.505928,0.52815115,51.205624,108.39244,14.803489,500.0,33.76644,1.1387398,137732
15,31.016365,0.64068395,47.738506,106.16932,14.535618,500.0,34.83405,0.9067924,84550
12,31.826538,0.61782545,52.488983,99.253876,14.9295225,500.0,37.989307,1.1035457,98233
13,33.922394,0.5291489,55.46074,103.74475,16.225193,500.0,27.286322,1.1717095,91789
8,32.685837,0.57888794,48.021187,118.17956,16.315598,500.0,31.944817,1.1619436,140896
11,31.135036,0.6015602,51.848743,107.40025,16.976822,500.0,30.369766,1.0136565,102286
15,30.472137,0.64564586,53.69542,93.459854,14.726006,500.0,33.757572,0.9923532,161416
12,29.665813,0.578478,50.761337,98.992905,15.210393,500.0,33.119045,0.9499596,200663
13,30.657887,0.5865736,48.809425,104.25048,15.058211,500.0,36.374294,1.0709047,269751
11,31.821045,0.57276726,50.574493,102.842445,15.408743,500.0,27.400227,1.0827107,290801
12,32.76934,0.5877248,51.137104,108.437935,15.1709385,500.0,33.50261,0.87078965,277440
7,31.216454,0.5397325,52.471313,99.52643,14.308752,500.0,32.773254,0.9940305,344595
8,31.21804,0.6072996,48.076336,115.83339,14.2570715,500.0,34.202938,0.94460946,352299
15,31.499193,0.57068247,53.918045,106.04529,16.696522,500.0,29.774323,0.96022373,324032
13,29.238274,0.5678549,56.464893,106.116394,15.408457,500.0,36.190353,1.1378487,459597
16,31.961788,0.6162219,47.611774,101.021286,15.074588,500.0,35.611294,1.1868843,710851
